overall,club_team_id,Playing Time_MP,Playing Time_90s,Per 90 Minutes_PrgC,Per 90 Minutes_PrgP,Per 90 Minutes_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_xG,Per 90 Minutes_xAG,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Per 90 Minutes_Total_Cmp,Per 90 Minutes_Total_Att,Total_Cmp%,Per 90 Minutes_Total_TotDist,Per 90 Minutes_Total_PrgDist,Per 90 Minutes_Short_Cmp,Per 90 Minutes_Short_Att,Short_Cmp%,Per 90 Minutes_Medium_Cmp,Per 90 Minutes_Medium_Att,Medium_Cmp%,Per 90 Minutes_Long_Cmp,Per 90 Minutes_Long_Att,Long_Cmp%,Per 90 Minutes_KP,Per 90 Minutes_1/3,Per 90 Minutes_PPA,Per 90 Minutes_CrsPA,SCA_SCA90,Per 90 Minutes_SCA Types_PassLive,Per 90 Minutes_SCA Types_PassDead,Per 90 Minutes_SCA Types_TO,Per 90 Minutes_SCA Types_Sh,Per 90 Minutes_SCA Types_Fld,Per 90 Minutes_SCA Types_Def,GCA_GCA90,Per 90 Minutes_GCA Types_PassLive,Per 90 Minutes_GCA Types_PassDead,Per 90 Minutes_GCA Types_TO,Per 90 Minutes_GCA Types_Sh,Per 90 Minutes_GCA Types_Fld,Per 90 Minutes_GCA Types_Def,Per 90 Minutes_Tackles_Tkl,Per 90 Minutes_Tackles_TklW,Per 90 Minutes_Tackles_Def 3rd,Per 90 Minutes_Tackles_Mid 3rd,Per 90 Minutes_Tackles_Att 3rd,Per 90 Minutes_Challenges_Tkl,Per 90 Minutes_Challenges_Att,Challenges_Tkl%,Per 90 Minutes_Challenges_Lost,Per 90 Minutes_Blocks_Blocks,Per 90 Minutes_Blocks_Sh,Per 90 Minutes_Blocks_Pass,Per 90 Minutes_Int,Per 90 Minutes_Tkl+Int,Per 90 Minutes_Clr,Per 90 Minutes_Err,position_num,league_level
66,1903,28,16.4,1.7682926829268295,2.5609756097560976,5.548780487804878,0.43,0.18,0.37,0.09,34.9,2.62,0.92,0.16,0.47,22.80487804878049,29.26829268292683,77.9,389.6951219512196,83.29268292682927,9.878048780487806,12.073170731707318,81.8,9.817073170731708,12.317073170731708,79.7,2.1951219512195124,2.7439024390243905,80.0,1.1585365853658538,1.4634146341463417,0.7926829268292683,0.0609756097560975,2.99,2.073170731707317,0.0,0.1829268292682927,0.5487804878048781,0.1219512195121951,0.0609756097560975,0.43,0.1829268292682927,0.0,0.0,0.1829268292682927,0.0,0.0609756097560975,2.1341463414634148,1.1585365853658538,0.9146341463414634,1.0975609756097562,0.1219512195121951,0.6707317073170732,1.6463414634146345,40.7,0.9756097560975612,0.6707317073170732,0.1829268292682927,0.4878048780487805,0.3658536585365854,2.5,0.7317073170731708,0.0,2,3
65,112134,24,10.7,1.2149532710280375,3.738317757009346,2.242990654205608,0.0,0.0,0.06,0.07,41.7,1.12,0.47,0.0,0.0,35.04672897196262,42.80373831775701,81.9,561.6822429906542,157.75700934579442,18.59813084112149,21.21495327102804,87.7,12.429906542056075,14.672897196261683,84.7,2.897196261682243,4.485981308411216,64.6,0.8411214953271029,3.2710280373831777,0.4672897196261683,0.2803738317757009,2.06,1.7757009345794394,0.0934579439252336,0.0,0.1869158878504673,0.0,0.0,0.09,0.0934579439252336,0.0,0.0,0.0,0.0,0.0,3.457943925233645,1.9626168224299068,1.121495327102804,2.149532710280374,0.1869158878504673,1.6822429906542058,3.457943925233645,48.6,1.7757009345794394,1.588785046728972,0.0934579439252336,1.4953271028037385,1.588785046728972,5.046728971962617,1.588785046728972,0.0934579439252336,5,4
71,71,21,20.200000000000003,0.0,1.415929203539823,0.1769911504424778,0.0,0.09,0.03,0.01,25.0,0.35,0.09,0.0,0.0,51.06194690265487,56.28318584070796,90.7,909.8230088495576,301.50442477876106,17.876106194690266,18.84955752212389,94.8,30.884955752212388,32.477876106194685,95.1,2.2123893805309733,4.336283185840708,51.0,0.1769911504424778,1.0619469026548671,0.1769911504424778,0.0,0.53,0.5309734513274336,0.0,0.0,0.0,0.0,0.0,0.09,0.0884955752212389,0.0,0.0,0.0,0.0,0.0,0.7964601769911503,0.4424778761061946,0.5309734513274336,0.2654867256637168,0.0,0.5309734513274336,1.0619469026548671,50.0,0.5309734513274336,1.327433628318584,0.7964601769911503,0.5309734513274336,1.327433628318584,2.1238938053097343,3.2743362831858405,0.1769911504424778,6,2
74,70,25,12.6,2.142857142857143,2.619047619047619,6.031746031746032,0.08,0.0,0.26,0.1,35.7,3.34,1.19,0.02,0.07,18.015873015873016,25.23809523809524,71.4,308.8888888888889,96.42857142857144,8.571428571428571,11.190476190476192,76.6,5.634920634920635,7.777777777777778,72.4,2.2222222222222223,3.73015873015873,59.6,0.7936507936507937,1.6666666666666667,0.3968253968253968,0.1587301587301587,2.07,1.1904761904761905,0.0793650793650793,0.3174603174603174,0.1587301587301587,0.3174603174603174,0.0,0.16,0.0793650793650793,0.0,0.0,0.0793650793650793,0.0,0.0,1.9047619047619049,1.3492063492063493,0.6349206349206349,0.9523809523809524,0.3174603174603174,1.1111111111111112,2.7777777777777777,40.0,1.6666666666666667,0.7936507936507937,0.0,0.7936507936507937,0.2380952380952381,2.142857142857143,0.5555555555555556,0.0,1,2
65,1905,28,25.6,2.578125,4.6484375,3.3984375,0.0,0.23,0.01,0.14,12.5,0.31,0.04,0.0,0.0,40.3125,57.265625,70.4,713.9453125,267.1875,19.21875,21.9921875,87.4,15.8203125,21.1328125,74.9,4.765625,11.796875,40.4,1.2109375,4.0234375,0.7421875,0.234375,2.22,1.4453125,0.5859375,0.0,0.078125,0.078125,0.0390625,0.31,0.15625,0.1171875,0.0,0.0390625,0.0,0.0,2.34375,1.1328125,1.5234375,0.703125,0.1171875,1.5234375,3.0078125,50.6,1.484375,1.25,0.5078125,0.7421875,1.171875,3.515625,3.046875,0.0,10,3
76,144,37,36.3,2.7272727272727275,3.553719008264463,5.34435261707989,0.0,0.17,0.02,0.11,43.8,0.44,0.19,0.0,0.0,41.70798898071626,56.5840220385675,73.7,752.176308539945,270.7988980716254,18.29201101928375,21.928374655647385,83.4,17.713498622589533,22.396694214876035,79.1,4.848484848484849,8.925619834710744,54.3,0.9090909090909092,3.112947658402204,1.2672176308539946,0.7162534435261708,1.9,1.7355371900826448,0.0550964187327823,0.0550964187327823,0.0,0.0275482093663911,0.0275482093663911,0.19,0.1928374655647383,0.0,0.0,0.0,0.0,0.0,2.5619834710743805,1.5977961432506889,1.6528925619834711,0.7162534435261708,0.1928374655647383,1.4325068870523416,3.0303030303030307,47.3,1.5977961432506889,1.5426997245179064,0.2203856749311294,1.322314049586777,2.203856749311295,4.765840220385675,3.223140495867769,0.0826446280991735,10,1
70,110329,24,23.7,0.5907172995780591,2.7426160337552745,0.2109704641350211,0.0,0.04,0.01,0.01,20.0,0.21,0.04,0.0,0.0,40.37974683544304,46.70886075949368,86.4,719.0717299578059,227.97468354430384,16.540084388185655,17.721518987341774,93.3,20.421940928270043,22.151898734177216,92.2,2.9957805907173,5.485232067510549,54.6,0.1265822784810126,2.278481012658228,0.1687763713080168,0.0421940928270042,0.34,0.2953586497890295,0.0421940928270042,0.0,0.0,0.0,0.0,0.08,0.0421940928270042,0.0421940928270042,0.0,0.0,0.0,0.0,1.8143459915611813,1.2236286919831223,1.0548523206751057,0.6751054852320675,0.0843881856540084,1.0548523206751057,1.8143459915611813,58.1,0.759493670886076,1.2236286919831223,0.4641350210970464,0.759493670886076,0.759493670886076,2.573839662447257,3.9662447257383966,0.0843881856540084,6,2
78,47,22,16.2,0.6578947368421053,3.1578947368421053,0.3947368421052631,0.0,0.0,0.02,0.07,23.1,1.51,0.35,0.0,0.0,51.05263157894737,56.71052631578948,90.0,789.3421052631579,165.5263157894737,25.657894736842103,27.5,93.3,21.18421052631579,23.55263157894737,89.9,2.5,3.0263157894736845,82.6,0.6578947368421053,2.236842105263158,0.2631578947368421,0.0,1.31,1.1842105263157896,0.131578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3157894736842106,1.0465116279069768,0.3947368421052631,0.7894736842105263,0.131578947368421,0.5263157894736842,1.1842105263157896,44.4,0.6578947368421053,0.9210526315789476,0.3947368421052631,0.5263157894736842,0.6976744186046512,2.763157894736842,1.842105263157895,0.0,2,2
82,46,28,21.7,4.055299539170507,2.5345622119815667,9.631336405529954,0.28,0.05,0.22,0.13,31.0,1.93,0.6,0.14,0.46,32.764976958525345,41.42857142857143,79.1,473.778801843318,98.24884792626727,19.723502304147463,21.705069124423964,90.9,9.5852534562212,12.258064516129032,78.2,1.9815668202764976,3.870967741935484,51.2,1.336405529953917,1.6589861751152075,1.19815668202765,0.2304147465437788,3.4,1.9815668202764976,0.599078341013825,0.3686635944700461,0.3225806451612903,0.1382488479262673,0.0,0.37,0.0921658986175115,0.0460829493087557,0.0,0.1382488479262673,0.0921658986175115,0.0,1.2442396313364057,0.7373271889400922,0.5069124423963134,0.6912442396313364,0.0460829493087557,0.4147465437788019,0.967741935483871,42.9,0.5529953917050692,1.19815668202765,0.0921658986175115,1.1059907834101383,0.967741935483871,2.2119815668202767,0.6912442396313364,0.0,4,2
72,1746,15,4.1,0.9756097560975612,0.9756097560975612,4.634146341463415,0.0,0.0,0.29,0.08,36.4,2.7,0.98,0.0,0.0,10.0,15.365853658536588,65.1,138.2926829268293,17.31707317073171,5.365853658536586,7.804878048780488,68.8,4.146341463414634,6.097560975609756,68.0,0.2439024390243902,0.2439024390243902,100.0,0.7317073170731708,0.4878048780487805,0.0,0.0,0.98,0.2439024390243902,0.0,0.0,0.2439024390243902,0.2439024390243902,0.2439024390243902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878048780487805,0.2439024390243902,0.0,0.4878048780487805,0.0,0.2439024390243902,0.2439024390243902,100.0,0.0,0.9756097560975612,0.0,0.9756097560975612,0.4878048780487805,0.9756097560975612,0.7317073170731708,0.0,1,2
