overall,club_team_id,Playing Time_MP,Playing Time_90s,Per 90 Minutes_PrgC,Per 90 Minutes_PrgP,Per 90 Minutes_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_xG,Per 90 Minutes_xAG,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Per 90 Minutes_Total_Cmp,Per 90 Minutes_Total_Att,Total_Cmp%,Per 90 Minutes_Total_TotDist,Per 90 Minutes_Total_PrgDist,Per 90 Minutes_Short_Cmp,Per 90 Minutes_Short_Att,Short_Cmp%,Per 90 Minutes_Medium_Cmp,Per 90 Minutes_Medium_Att,Medium_Cmp%,Per 90 Minutes_Long_Cmp,Per 90 Minutes_Long_Att,Long_Cmp%,Per 90 Minutes_KP,Per 90 Minutes_1/3,Per 90 Minutes_PPA,Per 90 Minutes_CrsPA,SCA_SCA90,Per 90 Minutes_SCA Types_PassLive,Per 90 Minutes_SCA Types_PassDead,Per 90 Minutes_SCA Types_TO,Per 90 Minutes_SCA Types_Sh,Per 90 Minutes_SCA Types_Fld,Per 90 Minutes_SCA Types_Def,GCA_GCA90,Per 90 Minutes_GCA Types_PassLive,Per 90 Minutes_GCA Types_PassDead,Per 90 Minutes_GCA Types_TO,Per 90 Minutes_GCA Types_Sh,Per 90 Minutes_GCA Types_Fld,Per 90 Minutes_GCA Types_Def,Per 90 Minutes_Tackles_Tkl,Per 90 Minutes_Tackles_TklW,Per 90 Minutes_Tackles_Def 3rd,Per 90 Minutes_Tackles_Mid 3rd,Per 90 Minutes_Tackles_Att 3rd,Per 90 Minutes_Challenges_Tkl,Per 90 Minutes_Challenges_Att,Challenges_Tkl%,Per 90 Minutes_Challenges_Lost,Per 90 Minutes_Blocks_Blocks,Per 90 Minutes_Blocks_Sh,Per 90 Minutes_Blocks_Pass,Per 90 Minutes_Int,Per 90 Minutes_Tkl+Int,Per 90 Minutes_Clr,Per 90 Minutes_Err,position_num,league_level
70,100409,7,3.0,1.6666666666666667,3.333333333333333,4.333333333333333,0.0,0.0,0.11,0.15,50.0,1.33,0.66,0.0,0.0,35.0,46.0,76.1,539.3333333333334,190.66666666666663,17.666666666666668,21.0,84.1,14.0,16.333333333333332,85.7,2.6666666666666665,6.0,44.4,1.0,2.0,1.0,0.6666666666666666,2.66,1.6666666666666667,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,2.0,33.3,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,2.0,0.0,9,2
66,111144,32,31.6,0.1582278481012658,2.721518987341772,0.2215189873417721,0.0,0.13,0.02,0.08,23.1,0.41,0.09,0.0,0.0,51.42405063291139,56.93037974683544,90.3,1062.246835443038,463.4493670886076,15.379746835443036,16.582278481012658,92.7,28.386075949367086,29.873417721518987,95.0,7.2784810126582276,9.683544303797468,75.2,0.2531645569620253,3.734177215189873,0.0949367088607594,0.0,0.57,0.3481012658227848,0.0316455696202531,0.0,0.1898734177215189,0.0,0.0,0.19,0.0316455696202531,0.0316455696202531,0.0,0.1265822784810126,0.0,0.0,1.0126582278481011,0.6962025316455696,0.9177215189873418,0.0949367088607594,0.0,0.6645569620253164,1.1075949367088609,60.0,0.4430379746835443,1.6772151898734176,0.981012658227848,0.6962025316455696,0.981012658227848,1.993670886075949,4.493670886075949,0.0,6,4
74,1968,30,18.8,2.553191489361702,1.6489361702127658,5.531914893617021,0.0,0.11,0.03,0.07,18.2,0.59,0.11,0.0,0.0,13.03191489361702,25.58510638297872,50.9,225.58510638297872,91.01063829787232,6.223404255319148,8.670212765957446,71.8,3.723404255319149,7.819148936170213,47.6,2.074468085106383,5.531914893617021,37.5,0.851063829787234,0.904255319148936,1.3297872340425532,1.1702127659574468,1.97,1.3297872340425532,0.1595744680851063,0.0531914893617021,0.0,0.425531914893617,0.0,0.27,0.1595744680851063,0.0,0.0,0.0,0.1063829787234042,0.0,2.127659574468085,1.2234042553191489,1.2234042553191489,0.5851063829787234,0.3191489361702127,0.904255319148936,3.0319148936170213,29.8,2.127659574468085,1.0638297872340423,0.0,1.0638297872340423,0.3723404255319149,2.5,0.904255319148936,0.0,12,1
74,175,23,18.2,0.7692307692307693,4.450549450549451,0.1648351648351648,0.0,0.0,0.07,0.0,12.5,0.88,0.11,0.0,0.0,51.81318681318682,61.42857142857143,84.3,950.4945054945056,360.1098901098901,19.285714285714285,20.87912087912088,92.4,27.967032967032967,30.714285714285715,91.1,4.065934065934066,7.802197802197803,52.1,0.0549450549450549,3.9010989010989015,0.2197802197802197,0.1098901098901098,0.77,0.6043956043956045,0.0549450549450549,0.0,0.1098901098901098,0.0,0.0,0.11,0.1098901098901098,0.0,0.0,0.0,0.0,0.0,1.043956043956044,0.4945054945054945,0.7142857142857143,0.2197802197802197,0.1098901098901098,0.5494505494505495,1.208791208791209,45.5,0.6593406593406593,1.7582417582417582,1.153846153846154,0.6043956043956045,0.8241758241758242,1.868131868131868,4.835164835164836,0.0549450549450549,6,2
71,479,28,14.4,1.4583333333333333,3.5416666666666665,2.1527777777777777,0.07,0.07,0.11,0.11,25.0,1.39,0.35,0.05,0.2,26.666666666666664,35.625,74.9,433.81944444444446,93.4722222222222,13.47222222222222,16.73611111111111,80.5,10.416666666666666,13.26388888888889,78.5,1.875,2.986111111111111,62.8,0.4166666666666666,2.430555555555556,0.2777777777777778,0.1388888888888889,1.39,0.9722222222222222,0.0,0.0694444444444444,0.0694444444444444,0.2083333333333333,0.0694444444444444,0.28,0.2083333333333333,0.0,0.0,0.0,0.0694444444444444,0.0,1.3888888888888888,0.6944444444444444,0.4861111111111111,0.8333333333333333,0.0694444444444444,0.6944444444444444,2.7777777777777777,25.0,2.083333333333333,1.3888888888888888,0.4861111111111111,0.9027777777777778,1.25,2.638888888888889,1.4583333333333333,0.0,2,1
79,246,19,15.1,1.589403973509934,7.417218543046358,0.2649006622516556,0.07,0.13,0.05,0.07,33.3,0.79,0.26,0.08,0.25,75.96026490066225,82.71523178807948,91.8,1326.2251655629138,511.9867549668874,31.85430463576159,33.24503311258278,95.8,38.34437086092716,40.52980132450331,94.6,4.834437086092716,7.417218543046358,65.2,0.4635761589403974,7.28476821192053,0.3311258278145695,0.0,1.72,1.52317880794702,0.0,0.0,0.1324503311258278,0.0,0.0662251655629139,0.26,0.2649006622516556,0.0,0.0,0.0,0.0,0.0,1.7880794701986755,1.3245033112582782,1.2582781456953642,0.4635761589403974,0.0662251655629139,1.1920529801324504,1.6556291390728477,72.0,0.4635761589403974,0.3973509933774835,0.1324503311258278,0.2649006622516556,1.3245033112582782,3.1125827814569536,3.3112582781456954,0.0662251655629139,6,3
79,247,27,20.3,1.625615763546798,13.990147783251231,2.413793103448276,0.05,0.39,0.14,0.35,45.2,1.52,0.69,0.03,0.07,69.26108374384236,85.56650246305418,80.9,1340.4433497536943,495.0738916256158,28.3743842364532,31.133004926108374,91.1,29.85221674876848,34.679802955665025,86.1,9.80295566502463,16.502463054187192,59.4,3.497536945812808,10.935960591133004,3.5960591133004924,0.3448275862068965,6.5,4.285714285714286,1.822660098522168,0.0985221674876847,0.2955665024630541,0.0,0.0,1.03,0.7881773399014778,0.1970443349753694,0.0,0.0492610837438423,0.0,0.0,1.7241379310344829,1.083743842364532,0.4926108374384236,0.7881773399014778,0.4433497536945812,0.9359605911330048,2.315270935960591,40.4,1.379310344827586,1.1822660098522166,0.3448275862068965,0.8374384236453202,0.3940886699507389,2.118226600985221,1.9704433497536944,0.0,2,3
80,1824,30,24.8,0.6854838709677419,4.233870967741935,1.0887096774193548,0.04,0.08,0.06,0.06,15.4,0.52,0.08,0.08,0.5,46.49193548387097,52.54032258064516,88.5,706.4516129032257,199.2741935483871,24.758064516129032,26.57258064516129,93.2,17.620967741935484,19.596774193548388,89.9,2.258064516129032,3.427419354838709,65.9,0.8870967741935484,3.306451612903225,0.7258064516129032,0.0,1.98,1.6935483870967742,0.0,0.0,0.0806451612903225,0.0403225806451612,0.1612903225806451,0.2,0.1209677419354838,0.0,0.0,0.0403225806451612,0.0,0.0403225806451612,1.6129032258064515,0.8870967741935484,0.6048387096774194,0.8467741935483871,0.1612903225806451,0.7258064516129032,1.7741935483870968,40.9,1.0483870967741935,1.2096774193548387,0.282258064516129,0.9274193548387096,1.25,2.8629032258064515,1.814516129032258,0.1612903225806451,5,2
60,112828,14,10.1,0.8910891089108911,3.7623762376237626,0.396039603960396,0.1,0.0,0.01,0.01,100.0,0.1,0.1,1.0,1.0,47.02970297029703,52.772277227722775,89.1,862.7722772277228,276.13861386138615,17.92079207920792,19.405940594059405,92.3,25.247524752475247,27.22772277227723,92.7,3.4653465346534653,4.455445544554456,77.8,0.198019801980198,2.277227722772277,0.198019801980198,0.0,0.59,0.594059405940594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0891089108910892,0.7920792079207921,0.6930693069306931,0.396039603960396,0.0,0.6930693069306931,1.188118811881188,58.3,0.495049504950495,0.8910891089108911,0.396039603960396,0.495049504950495,1.98019801980198,3.0693069306930694,3.5643564356435644,0.198019801980198,5,4
79,1925,16,14.1,0.7801418439716312,3.475177304964539,0.6382978723404256,0.14,0.0,0.1,0.02,20.0,0.71,0.14,0.2,1.0,36.24113475177305,47.304964539007095,76.6,640.4255319148937,259.4326241134752,15.46099290780142,17.659574468085108,87.6,16.666666666666668,20.21276595744681,82.5,3.475177304964539,7.304964539007092,47.6,0.425531914893617,3.191489361702128,0.2836879432624113,0.1418439716312056,0.99,0.7801418439716312,0.0709219858156028,0.0,0.1418439716312056,0.0,0.0,0.07,0.0,0.0,0.0,0.0709219858156028,0.0,0.0,1.843971631205673,1.0638297872340423,0.851063829787234,0.851063829787234,0.1418439716312056,1.2056737588652482,1.5602836879432624,77.3,0.3546099290780142,1.4893617021276595,0.9219858156028368,0.5673758865248227,0.9219858156028368,2.765957446808511,4.468085106382979,0.0709219858156028,6,1
83,22,25,21.7,1.6129032258064515,5.0691244239631335,0.8294930875576038,0.09,0.09,0.1,0.07,6.7,0.69,0.05,0.0,0.0,59.26267281105991,67.78801843317973,87.4,1047.8801843317972,337.1428571428572,25.11520737327189,27.78801843317973,90.4,27.78801843317973,30.23041474654378,91.9,5.253456221198157,7.235023041474655,72.6,0.9216589861751152,5.0691244239631335,0.3686635944700461,0.0,2.03,1.7511520737327189,0.0460829493087557,0.0,0.0921658986175115,0.0460829493087557,0.0921658986175115,0.18,0.184331797235023,0.0,0.0,0.0,0.0,0.0,2.903225806451613,2.0737327188940093,1.7050691244239633,1.0599078341013826,0.1382488479262673,1.2903225806451613,2.2119815668202767,58.3,0.9216589861751152,1.3824884792626728,0.3225806451612903,1.0599078341013826,1.0138248847926268,3.91705069124424,1.8894009216589864,0.0921658986175115,5,2
65,101112,27,15.1,0.9271523178807948,1.9867549668874167,4.569536423841059,0.46,0.2,0.41,0.1,50.0,2.78,1.39,0.17,0.33,16.225165562913908,21.920529801324506,74.0,230.52980132450327,33.70860927152318,9.668874172185433,11.788079470198676,82.0,4.966887417218543,6.423841059602649,77.3,0.728476821192053,0.9933774834437088,73.3,0.9271523178807948,1.1258278145695364,0.4635761589403974,0.0662251655629139,2.52,2.052980132450331,0.0,0.0662251655629139,0.1986754966887417,0.1986754966887417,0.0,0.4,0.3311258278145695,0.0,0.0,0.0662251655629139,0.0,0.0,0.728476821192053,0.4635761589403974,0.1324503311258278,0.5298013245033113,0.0662251655629139,0.1986754966887417,0.6622516556291391,30.0,0.4635761589403974,0.9271523178807948,0.1324503311258278,0.794701986754967,0.0662251655629139,0.794701986754967,0.9933774834437088,0.0,1,4
