overall,club_team_id,Playing Time_MP,Playing Time_90s,Per 90 Minutes_PrgC,Per 90 Minutes_PrgP,Per 90 Minutes_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_xG,Per 90 Minutes_xAG,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Per 90 Minutes_Total_Cmp,Per 90 Minutes_Total_Att,Total_Cmp%,Per 90 Minutes_Total_TotDist,Per 90 Minutes_Total_PrgDist,Per 90 Minutes_Short_Cmp,Per 90 Minutes_Short_Att,Short_Cmp%,Per 90 Minutes_Medium_Cmp,Per 90 Minutes_Medium_Att,Medium_Cmp%,Per 90 Minutes_Long_Cmp,Per 90 Minutes_Long_Att,Long_Cmp%,Per 90 Minutes_KP,Per 90 Minutes_1/3,Per 90 Minutes_PPA,Per 90 Minutes_CrsPA,SCA_SCA90,Per 90 Minutes_SCA Types_PassLive,Per 90 Minutes_SCA Types_PassDead,Per 90 Minutes_SCA Types_TO,Per 90 Minutes_SCA Types_Sh,Per 90 Minutes_SCA Types_Fld,Per 90 Minutes_SCA Types_Def,GCA_GCA90,Per 90 Minutes_GCA Types_PassLive,Per 90 Minutes_GCA Types_PassDead,Per 90 Minutes_GCA Types_TO,Per 90 Minutes_GCA Types_Sh,Per 90 Minutes_GCA Types_Fld,Per 90 Minutes_GCA Types_Def,Per 90 Minutes_Tackles_Tkl,Per 90 Minutes_Tackles_TklW,Per 90 Minutes_Tackles_Def 3rd,Per 90 Minutes_Tackles_Mid 3rd,Per 90 Minutes_Tackles_Att 3rd,Per 90 Minutes_Challenges_Tkl,Per 90 Minutes_Challenges_Att,Challenges_Tkl%,Per 90 Minutes_Challenges_Lost,Per 90 Minutes_Blocks_Blocks,Per 90 Minutes_Blocks_Sh,Per 90 Minutes_Blocks_Pass,Per 90 Minutes_Int,Per 90 Minutes_Tkl+Int,Per 90 Minutes_Clr,Per 90 Minutes_Err,position_num,league_level
76,7,35,32.1,2.4922118380062304,3.5514018691588785,4.579439252336448,0.09,0.19,0.11,0.27,24.6,1.77,0.44,0.05,0.21,27.227414330218068,39.4392523364486,69.0,465.9190031152648,156.85358255451712,14.485981308411214,16.635514018691588,87.1,8.193146417445483,11.557632398753894,70.9,3.613707165109034,7.850467289719626,46.0,2.149532710280374,2.242990654205608,1.6822429906542056,0.6230529595015576,4.05,2.398753894080997,1.02803738317757,0.1557632398753894,0.1869158878504672,0.1869158878504672,0.0934579439252336,0.28,0.0934579439252336,0.1246105919003115,0.0,0.0311526479750778,0.0311526479750778,0.0,1.3707165109034267,0.8411214953271028,0.4984423676012461,0.4361370716510903,0.4361370716510903,0.7476635514018691,1.7133956386292837,43.6,0.9657320872274144,1.3707165109034267,0.2180685358255451,1.1526479750778815,0.6853582554517134,2.05607476635514,1.1526479750778815,0.0,11,1
81,5,13,8.4,2.619047619047619,2.9761904761904763,7.023809523809524,0.0,0.12,0.14,0.26,33.3,1.43,0.48,0.0,0.0,44.40476190476191,58.92857142857142,75.4,622.6190476190476,184.7619047619048,27.38095238095238,30.83333333333333,88.8,13.333333333333332,17.023809523809522,78.3,2.142857142857143,5.714285714285714,37.5,1.6666666666666663,3.452380952380952,0.238095238095238,0.238095238095238,2.62,1.3095238095238095,0.9523809523809524,0.0,0.119047619047619,0.238095238095238,0.0,0.24,0.119047619047619,0.0,0.0,0.119047619047619,0.0,0.0,1.7857142857142856,1.1904761904761905,0.5952380952380952,1.0714285714285714,0.119047619047619,0.5952380952380952,0.9523809523809524,62.5,0.3571428571428571,1.3095238095238095,0.3571428571428571,0.9523809523809524,0.4761904761904761,2.261904761904762,2.261904761904762,0.119047619047619,10,1
70,110724,34,19.1,2.408376963350785,4.136125654450262,7.801047120418848,0.21,0.21,0.17,0.24,45.7,1.83,0.84,0.11,0.25,34.08376963350785,44.92146596858638,75.9,664.0837696335078,192.4607329842932,11.8848167539267,14.45026178010471,82.2,17.015706806282722,20.157068062827225,84.4,4.397905759162303,8.115183246073299,54.2,2.25130890052356,2.3560209424083767,1.6230366492146595,0.5759162303664921,4.44,3.1413612565445024,1.0471204188481675,0.1047120418848167,0.1047120418848167,0.0523560209424083,0.0,0.37,0.1570680628272251,0.1570680628272251,0.0,0.0,0.0523560209424083,0.0,0.8900523560209423,0.6806282722513088,0.5759162303664921,0.1570680628272251,0.1570680628272251,0.4712041884816753,1.2041884816753925,39.1,0.7329842931937173,0.6806282722513088,0.0,0.6806282722513088,0.3141361256544502,1.2041884816753925,0.7329842931937173,0.0,11,4
80,36,27,19.2,1.6145833333333337,3.6458333333333335,7.34375,0.47,0.16,0.61,0.19,41.3,3.91,1.62,0.12,0.29,22.447916666666668,30.677083333333336,73.2,327.8125,90.67708333333334,13.229166666666668,16.197916666666668,81.7,7.03125,9.479166666666668,74.2,1.3541666666666667,2.395833333333333,56.5,1.3541666666666667,1.9791666666666667,1.40625,0.1041666666666666,3.02,2.291666666666667,0.0,0.0,0.5729166666666667,0.0,0.15625,0.42,0.2083333333333333,0.0,0.0,0.15625,0.0,0.0520833333333333,0.5729166666666667,0.5208333333333334,0.1041666666666666,0.15625,0.3125,0.0520833333333333,0.8854166666666667,5.9,0.8333333333333334,0.78125,0.1041666666666666,0.6770833333333334,0.15625,0.7291666666666667,0.5208333333333334,0.0,1,2
76,1824,30,28.9,0.7612456747404844,4.775086505190312,1.591695501730104,0.03,0.07,0.05,0.07,38.9,0.62,0.24,0.06,0.14,55.84775086505191,65.9515570934256,84.7,1014.9480968858132,349.65397923875435,22.42214532871973,24.42906574394464,91.8,28.719723183391004,31.52249134948097,91.1,4.186851211072665,7.889273356401384,53.1,0.4152249134948097,4.083044982698962,0.5536332179930796,0.0692041522491349,1.21,0.8996539792387543,0.0692041522491349,0.0,0.2076124567474048,0.0346020761245674,0.0,0.1,0.1038062283737024,0.0,0.0,0.0,0.0,0.0,2.179930795847751,1.1418685121107266,1.3148788927335642,0.6574394463667821,0.2076124567474048,1.3494809688581315,2.041522491349481,66.1,0.6920415224913495,1.0034602076124568,0.4152249134948097,0.5882352941176471,1.245674740484429,3.42560553633218,3.42560553633218,0.0,6,2
69,111235,29,9.9,2.929292929292929,1.9191919191919191,7.575757575757575,0.1,0.1,0.21,0.26,38.5,1.31,0.5,0.08,0.2,15.959595959595958,22.626262626262623,70.5,242.5252525252525,57.27272727272727,9.393939393939394,13.03030303030303,72.1,4.343434343434343,5.353535353535353,81.1,1.3131313131313131,2.323232323232323,56.5,1.414141414141414,1.7171717171717171,0.6060606060606061,0.202020202020202,2.82,2.4242424242424243,0.0,0.101010101010101,0.0,0.303030303030303,0.0,0.4,0.404040404040404,0.0,0.0,0.0,0.0,0.0,0.9090909090909092,0.5050505050505051,0.303030303030303,0.6060606060606061,0.0,0.202020202020202,0.7070707070707071,28.6,0.5050505050505051,0.101010101010101,0.101010101010101,0.0,0.101010101010101,1.0101010101010102,0.8080808080808081,0.0,1,2
72,66,29,20.4,5.147058823529412,3.627450980392157,11.61764705882353,0.15,0.1,0.2,0.19,46.5,2.11,0.98,0.07,0.15,26.225490196078432,33.92156862745098,77.3,420.00000000000006,92.3529411764706,13.382352941176473,15.637254901960786,85.6,9.46078431372549,12.058823529411766,78.5,2.1568627450980395,3.6764705882352944,58.7,1.4215686274509804,1.4705882352941178,1.519607843137255,0.2450980392156863,3.58,2.3039215686274512,0.2941176470588235,0.3921568627450981,0.3431372549019608,0.2450980392156863,0.0,0.29,0.196078431372549,0.0490196078431372,0.0,0.0490196078431372,0.0,0.0,1.3725490196078431,0.6862745098039216,0.8823529411764707,0.2941176470588235,0.196078431372549,0.5882352941176471,1.862745098039216,31.6,1.2745098039215688,0.7352941176470589,0.0490196078431372,0.6862745098039216,0.3921568627450981,1.7647058823529411,0.4411764705882353,0.0,7,2
72,1738,13,4.4,1.5909090909090908,3.636363636363636,6.136363636363636,0.0,0.0,0.09,0.2,37.5,1.83,0.69,0.0,0.0,40.0,53.18181818181818,75.2,649.7727272727273,235.0,22.045454545454543,25.227272727272727,87.4,12.727272727272728,15.909090909090908,80.0,3.8636363636363633,8.636363636363635,44.7,1.5909090909090908,2.727272727272727,0.9090909090909092,0.4545454545454545,2.76,2.0454545454545454,0.0,0.2272727272727272,0.0,0.4545454545454545,0.0,0.23,0.0,0.0,0.0,0.0,0.2272727272727272,0.0,1.818181818181818,1.5909090909090908,1.1363636363636362,0.4545454545454545,0.2272727272727272,0.4545454545454545,2.0454545454545454,22.2,1.5909090909090908,1.1363636363636362,0.2272727272727272,0.9090909090909092,1.3636363636363635,3.1818181818181817,2.2727272727272725,0.0,9,2
75,110329,29,29.0,0.6551724137931034,4.0344827586206895,2.0,0.0,0.21,0.11,0.14,29.3,1.41,0.41,0.0,0.0,23.58620689655172,33.41379310344828,70.6,361.9310344827586,131.27586206896552,12.724137931034482,16.103448275862068,79.0,8.758620689655173,12.172413793103448,72.0,1.1724137931034482,2.413793103448276,48.6,1.103448275862069,3.206896551724138,0.4137931034482758,0.0689655172413793,1.93,1.6551724137931034,0.0,0.0,0.1379310344827586,0.0344827586206896,0.1034482758620689,0.17,0.1034482758620689,0.0,0.0,0.0344827586206896,0.0,0.0344827586206896,1.9310344827586208,0.9655172413793104,0.8275862068965517,0.896551724137931,0.2068965517241379,0.8620689655172413,1.5517241379310345,55.6,0.6896551724137931,0.9310344827586208,0.1724137931034483,0.7586206896551724,1.2413793103448276,3.1724137931034484,2.1724137931034484,0.0689655172413793,2,2
72,65,17,8.6,2.0930232558139537,2.674418604651163,8.953488372093023,0.12,0.12,0.15,0.15,27.3,1.29,0.35,0.09,0.33,24.069767441860467,32.7906976744186,73.4,344.7674418604651,90.34883720930232,15.232558139534884,17.906976744186046,85.1,6.627906976744186,9.30232558139535,71.3,1.2790697674418603,3.0232558139534884,42.3,1.3953488372093024,0.813953488372093,1.162790697674419,0.2325581395348837,2.1,1.3953488372093024,0.3488372093023256,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.0,0.12,0.1162790697674418,0.0,0.0,0.0,0.0,0.0,1.162790697674419,0.6976744186046512,0.3488372093023256,0.4651162790697674,0.3488372093023256,0.813953488372093,2.3255813953488373,35.0,1.5116279069767442,1.0465116279069768,0.2325581395348837,0.813953488372093,0.5813953488372093,1.744186046511628,0.6976744186046512,0.0,11,2
